form	lemma	POS
l'	lo	DET
Agnel	anhèl	NOUN
.	.	PUNCT
se	el	PRON
trobo	trobar	VERB
le	lo	DET
Lyoun	lion	NOUN
El	el	PRON
és	èsser	AUX
le	lo	DET
Lyoun	lion	NOUN
de	de	ADP
Juda	Judàs	PROPN
Que	qui	PRON
diu	dever	VERB
surmonta	surmontar	VERB
tout	tot	DET
le	lo	DET
mounde	monde	NOUN
,	,	PUNCT
soun	son	DET
bras	braç	NOUN
soul	sol	ADJ
le	el	PRON
diu	dever	VERB
ajuda	ajudar	VERB
sense	sens	ADP
que	que	SCONJ
degun	degus	PRON
le	el	PRON
segoundé	segondar	VERB
;	;	PUNCT
Mai	mai	ADV
que	que	SCONJ
sio	èsser	AUX
mort	morir	VERB
prumieromen	prumierament	ADV
Coumo	coma	ADP
un	un	DET
brai	verai	ADJ
Agnelet	anhelet	NOUN
Per	per	ADP
nostre	nòstre	DET
salbomen	salvament	NOUN
Coumo	coma	ADP
un	un	DET
brai	verai	ADJ
Agnelet	anhelet	NOUN
Mon	mon	DET
Diu	Dieu	PROPN
pei	puèi	ADV
que	que	SCONJ
bous	vos	PRON
s'	el	PRON
es	èsser	AUX
nascut	nàisser	VERB
Per	per	ADP
nous	nos	PRON
rendre	rendre	VERB
nostro	nòstre	DET
innoucenco	innocéncia	NOUN
Que	qui	PRON
nostre	nòstre	DET
Paire	paire	PROPN
abio	aver	VERB
perdut	perdre	VERB
,	,	PUNCT
Jouyouso	joiós	ADJ
sio	èsser	AUX
bostro	vòstre	DET
naissenço	naissença	NOUN
.	.	PUNCT
Anen	anar	VERB
touts	tot	PRON
à	a	ADP
l'	lo	DET
Efan	enfant	NOUN
noubél	novèl	ADJ
Canten	cantar	VERB
qui	qui	PRON
mai	mai	ADV
poüira	poder	VERB
Nouel	noèl	NOUN
nouel	noèl	NOUN
nouel	noèl	NOUN
nouel	noèl	NOUN
.	.	PUNCT
Canten	cantar	VERB
qui	qui	PRON
mai	mai	ADV
poüira	poder	VERB
N140-11		
NOUEL	noèl	NOUN
.	.	PUNCT
sur	sus	ADP
l'	lo	DET
aire	aire	NOUN
,	,	PUNCT
Mantengo	mantenir	VERB
Diu	Dieu	PROPN
qu'	qui	PRON
a	aver	AUX
fait	far	VERB
planta	plantar	VERB
.	.	PUNCT
Dous	7	DET
Pastous	pastor	NOUN
parlon	parlar	VERB
amasso	amassa	ADV
en	en	ADP
formo	forma	NOUN
de	de	ADP
Dialogo	dialòga	NOUN
.	.	PUNCT
Bos	voler	VERB
t'	tu	PRON
en	en	PRON
ana	anar	VERB
dan	amb	ADP
yeu	ieu	PRON
Pastou	pastor	NOUN
?	?	PUNCT
Et	e	CCONJ
oun	ont	PRON
bas	anar	VERB
?	?	PUNCT
m'	ieu	PRON
en	en	PRON
bauc	anar	VERB
à	a	ADP
la	lo	DET
Bilo	vila	NOUN
,	,	PUNCT
Que	que	PRON
fa	far	VERB
?	?	PUNCT
bauc	anar	VERB
y	i	PRON
beze	véser	VERB
un	un	DET
Toustou	toston	NOUN
!	!	PUNCT
Lous	lo	DET
autres	autre	PRON
y	i	PRON
ban	anar	VERB
touts	tot	PRON
en	en	ADP
pilo	pila	NOUN
;	;	PUNCT
Fai	far	VERB
leu	lèu	ADV
se	se	SCONJ
bos	voler	VERB
ana	anar	VERB
dan	amb	ADP
yeu	ieu	PRON
Anen	anar	VERB
beze	véser	VERB
le	lo	DET
Fil	filh	PROPN
de	de	ADP
Diu	Dieu	PROPN
.	.	PUNCT
sé	se	SCONJ
dins	dins	ADP
l'	lo	DET
oustal	ostal	NOUN
poudén	poder	VERB
intra	entrar	VERB
Aquo	aquò	PRON
be	ben	ADV
sera	èsser	AUX
causo	causa	NOUN
estranjo	estrange	ADJ
,	,	PUNCT
Qualqu’	calque	DET
un	un	DET
nous	nos	PRON
en	en	PRON
empachara	empachar	VERB
.	.	PUNCT
E	e	CCONJ
nés	èsser	AUX
nascut	nàisser	VERB
dins	dins	ADP
uno	un	DET
granjo	granja	NOUN
;	;	PUNCT
Coussi	cossí	ADV
,	,	PUNCT
Diu	Dieu	PROPN
nais	nàisser	VERB
ta	tant	ADV
pauromen	paurament	ADV
?	?	PUNCT
Aquo	aquò	PRON
s	èsser	AUX
per	per	ADP
nostre	nòstre	DET
salbomen	salvament	NOUN
.	.	PUNCT
Dins	dins	ADP
uno	un	DET
granjo	granja	NOUN
!	!	PUNCT
le	lo	DET
pauret	pauret	NOUN
,	,	PUNCT
Le	el	PRON
plangi	plànher	VERB
pla	plan	ADV
per	per	ADP
aquesto	aqueste	DET
armo	arma	NOUN
,	,	PUNCT
Le	lo	DET
Toustou	toston	PROPN
mourira	morir	VERB
de	de	ADP
fret	freg	NOUN
,	,	PUNCT
Tout	tot	DET
le	lo	DET
miu	mieu	ADJ
paure	paure	ADJ
cor	còr	NOUN
s'	el	PRON
alarmo	alarma	NOUN
;	;	PUNCT
Un	un	DET
Diu	Dieu	PROPN
nais	nàisser	VERB
dins	dins	ADP
la	lo	DET
pauretat	pauretat	NOUN
!	!	PUNCT
Jou	ieu	PRON
tabe	tanben	ADV
be	ben	ADV
n'	en	PRON
e	aver	VERB
pla	plan	ADV
pietat	pietat	NOUN
.	.	PUNCT
Mai	mai	ADV
qu'	que	SCONJ
un	un	DET
lum	lum	NOUN
besi	véser	VERB
jou	ieu	PRON
Jouantou	Joanton	PROPN
?	?	PUNCT
Helas	ailàs	INTJ
mon	mon	DET
Diu	Dieu	PROPN
qu'	que	ADV
uno	un	DET
merbeillo	mervelha	NOUN
!	!	PUNCT
Aqui	aquí	ADV
és	èsser	AUX
nascut	nàisser	VERB
le	lo	DET
Toustou	toston	PROPN
,	,	PUNCT
A	a	ADP
miejo	mièg	ADJ
neit	nuèch	NOUN
on	òm	PRON
s’	se	PRON
i	i	PRON
souleillo	solelhar	VERB
!	!	PUNCT
Nou	non	ADV
gestaran		VERB
lum	lum	NOUN
ni	ni	CCONJ
calél	calelh	NOUN
,	,	PUNCT
Pei	puèi	ADV
que	que	SCONJ
fa	far	VERB
un	un	DET
ta	tant	ADV
bél	bèl	ADJ
soulél	solelh	NOUN
.	.	PUNCT
Le	lo	DET
soulél	solelh	NOUN
es	èsser	AUX
le	lo	DET
Poutounet	potonet	NOUN
,	,	PUNCT
Aprocho	aprochar	VERB
te	tu	PRON
,	,	PUNCT
beni	venir	VERB
le	lo	DET
beze	véser	VERB
.	.	PUNCT
Et	e	CCONJ
moun	mon	DET
Diu	Dieu	PROPN
le	lo	DET
poulit	polit	ADJ
nenet	nenet	NOUN
!	!	PUNCT
seignour	senhor	NOUN
Diu	Dieu	PROPN
qui	qui	PRON
au	el	PRON
pouïrio	poder	VERB
creze	créser	VERB
!	!	PUNCT
De	de	ADP
fret	freg	NOUN
tramblo	tramblar	VERB
tout	tot	DET
le	lo	DET
Toustou	toston	PROPN
,	,	PUNCT
Et	e	CCONJ
jou	ieu	PRON
me	ieu	PRON
brulli	brutlar	VERB
de	de	ADP
calou	calor	NOUN
Lous	lo	DET
autres	autre	PRON
li	el	PRON
an	aver	AUX
fait	far	VERB
un	un	DET
presen	present	NOUN
,	,	PUNCT
Cal	caler	VERB
douna	donar	VERB
quicom	quicòm	PRON
à	a	ADP
sa	son	DET
Maire	maire	NOUN
,	,	PUNCT
Jou	ieu	PRON
n'	non	ADV
ei	aver	VERB
res	res	PRON
certos	cèrtas	ADV
pel	per+lo	ADP+DET
presen	present	NOUN
.	.	PUNCT
Bergés	verge	PROPN
que	qui	PRON
nouïrisses	noirir	VERB
ton	ton	DET
Paire	paire	PROPN
,	,	PUNCT
Presento	presentar	VERB
à	a	ADP
ton	ton	DET
fil	filh	NOUN
nostre	nòstre	DET
cor	còr	NOUN
,	,	PUNCT
Aquo'	aquò	PRON
s	èsser	AUX
és	èsser	AUX
tout	tot	DET
nostre	nòstre	DET
tresor	tresòr	NOUN
.	.	PUNCT
N17-1		
NOEL	noèl	NOUN
EN	en	ADP
FORME	@french	FM
de	de	ADP
Dialogue	@french	FM
composant	@french	FM
,	,	PUNCT
sur	sus	ADP
l'	lo	DET
airé	aire	NOUN
,	,	PUNCT
Change	@french	FM
mon	@french	FM
infinelle	@french	FM
change	@french	FM
quandtu	@french	FM
voudras	@french	FM
.	.	PUNCT
Guyraud	Guiraud	PROPN
.	.	PUNCT
Aquesto	aqueste	DET
neit	nuèch	NOUN
l'	lo	DET
Estello	estèla	NOUN
,	,	PUNCT
Qu'	qui	PRON
a	aver	AUX
parescut	paréisser	VERB
al	a+lo	ADP+DET
Cel	cèl	NOUN
,	,	PUNCT
Marque	marcar	VERB
qualque	qualque	DET
nouuello	novèla	NOUN
,	,	PUNCT
Car	car	CCONJ
le	lo	DET
temps	temps	NOUN
ez	èsser	AUX
fort	fòrt	ADV
bel	bèl	ADJ
,	,	PUNCT
Mesmes	mèma	ADJ
que	que	SCONJ
ma	mon	DET
serbelle	cervèl	NOUN
,	,	PUNCT
Non	non	ADV
pot	poder	VERB
souffry	sofrir	VERB
le	lo	DET
capel	capèl	NOUN
.	.	PUNCT
Bertran	Bertrand	PROPN
.	.	PUNCT
La	lo	DET
cauze	causa	NOUN
ez	èsser	AUX
trop	tròp	ADV
segure	segur	ADJ
,	,	PUNCT
Non	non	ADV
t'	tu	PRON
en	en	PRON
estonnes	estonar	VERB
pas	pas	ADV
,	,	PUNCT
Pey	puèi	SCONJ
qu'	que	SCONJ
on	òm	PRON
fa	far	VERB
pas	pas	ADV
fredure	frejura	NOUN
,	,	PUNCT
Leuen	levar	VERB
nous	nos	PRON
del	de+lo	ADP+DET
carras	carràs	NOUN
Per	per	ADP
beze	véser	VERB
quino	quin	DET
auguro	augura	NOUN
Fa	far	VERB
que	que	SCONJ
nou	non	ADV
dormen	dormir	VERB
pas	pas	ADV
.	.	PUNCT
Andriu	Andrèu	PROPN
.	.	PUNCT
Vous	vos	PRON
autres	autre	PRON
ets	èsser	AUX
estranges	estrange	ADJ
,	,	PUNCT
Non	non	ADV
aues	aver	VERB
res	res	PRON
augit	ausir	VERB
,	,	PUNCT
Helas	ailàs	INTJ
Mondius	mon+diu	INTJ
les	lo	DET
Anges	àngel	NOUN
,	,	PUNCT
Aros	ara	ADV
mesmes	mèma	ADJ
qu'	que	SCONJ
an	aver	AUX
dit	dire	VERB
,	,	PUNCT
De	de	ADP
quitta	quitar	VERB
nostros	nòstre	DET
grangos	granja	NOUN
.	.	PUNCT
Et	e	CCONJ
d'	de	ADP
adora	adorar	VERB
Jesus-Christ	Jèsus+Crist	PROPN
,	,	PUNCT
Qu'	qui	PRON
es	èsser	AUX
nasqut	nàisser	VERB
dins	dins	ADP
l'	lo	DET
estable	estable	NOUN
D'	de	ADP
un	un	DET
bentré	ventre	NOUN
tout	tot	ADV
pieucel	piucèl	ADJ
,	,	PUNCT
Et	e	CCONJ
se	el	PRON
rand	rendre	VERB
miserable	miserable	ADJ
,	,	PUNCT
Per	per	ADP
nous	nos	PRON
donna	donar	VERB
le	lo	DET
Cel	cèl	PROPN
.	.	PUNCT
Pey	puèi	SCONJ
qu'	que	SCONJ
el	el	PRON
ez	èsser	AUX
tant	tant	ADV
aymable	aimable	ADJ
,	,	PUNCT
Quiten	quitar	VERB
nostre	nòstre	DET
troupel	tropèl	NOUN
.	.	PUNCT
Per	per	ADP
ly	el	PRON
faire	far	VERB
un	un	DET
offrando	ofrandra	NOUN
,	,	PUNCT
De	de	ADP
so	çò	PRON
milhou	melhor	ADV
qu'	qui	PRON
auren	aver	VERB
,	,	PUNCT
Cresi	créser	VERB
qu'	que	SCONJ
el	el	PRON
non	non	ADV
demando	demandar	VERB
,	,	PUNCT
Que	que	SCONJ
le	lo	DET
cor	còr	NOUN
soulomen	solament	ADV
,	,	PUNCT
Anen	anar	VERB
toutis	tot	PRON
en	en	ADP
bando	banda	NOUN
,	,	PUNCT
Per	per	ADP
beze	véser	VERB
la	lo	DET
Jasen	jaire	PROPN
.	.	PUNCT
Et	e	CCONJ
pey	puèi	SCONJ
toutis	tot	PRON
amasso	amassa	ADV
,	,	PUNCT
Nous	nos	PRON
aux	autre	PRON
l'	el	PRON
adouraren	adorar	VERB
,	,	PUNCT
Le	el	PRON
pregan	pregar	VERB
que	que	SCONJ
ly	el	PRON
placio	plaire	VERB
,	,	PUNCT
Nous	nos	PRON
donna	donar	VERB
soulamen	solament	ADV
,	,	PUNCT
Un	un	DET
jour	jorn	NOUN
sa	son	DET
santo	sant	ADJ
gracio	gràcia	NOUN
.	.	PUNCT
Pey	puèi	SCONJ
non	non	ADV
retourneren	retornar	VERB
.	.	PUNCT
N17-3		
Autré	autre	PRON
en	en	ADP
vulgary	vulgari	NOUN
sur	sus	ADP
lou	lo	DET
mesme	mèma	ADJ
aire	aire	NOUN
.	.	PUNCT
Guiraud	Guiraud	PROPN
.	.	PUNCT
Vidal	Vidal	PROPN
as	aver	AUX
tu	tu	PRON
augit	ausir	VERB
,	,	PUNCT
L'	lo	DET
Ange	àngel	NOUN
quand	quand	SCONJ
à	aver	AUX
dit	dire	VERB
,	,	PUNCT
De	de	ADP
prene	prendre	VERB
la	lo	DET
capo	capa	NOUN
,	,	PUNCT
D'	de	ADP
ana	anar	VERB
en	en	ADP
Belleem	Betleèm	PROPN
,	,	PUNCT
Incaro	encara	ADV
qui	qui	PRON
age	aver	VERB
len	luènh	ADV
,	,	PUNCT
Et	e	CCONJ
la	lo	DET
son	sòm	NOUN
t'	tu	PRON
arappo	arapar	VERB
.	.	PUNCT
Vidal	Vidal	PROPN
.	.	PUNCT
Oùbe	òc-ben	ADV
ou	el	PRON
ay	aver	AUX
augit	ausir	VERB
,	,	PUNCT
Et	e	CCONJ
serio	èsser	AUX
pla	plan	ADV
marrit	marrir	ADJ
,	,	PUNCT
De	de	ADP
demoura	demorar	VERB
gaire	gaire	ADV
,	,	PUNCT
A	a	ADP
beze	véser	VERB
aquel	aquel	DET
Enfan	enfant	NOUN
,	,	PUNCT
Dambé	amb	ADP
Joseph	Josèp	PROPN
le	lo	DET
gran	grand	NOUN
,	,	PUNCT
Et	e	CCONJ
Marie	Maria	PROPN
la	lo	DET
Maire	maire	NOUN
.	.	PUNCT
Guiraud	Guiraud	PROPN
.	.	PUNCT
Anen	anar	VERB
vitomens	vitament	ADV
,	,	PUNCT
sans	sens	ADP
perdre	perdre	VERB
de	de	ADP
temps	temps	NOUN
,	,	PUNCT
Anen	anar	VERB
à	a	ADP
l'	lo	DET
estable	estable	NOUN
,	,	PUNCT
Aqui	aquí	ADV
troubaren	trobar	VERB
,	,	PUNCT
La	lo	DET
belle	@french	FM
Jasen	jaire	PROPN
,	,	PUNCT
D'	de	ADP
un	un	DET
Fil	filh	PROPN
tant	tant	ADV
aymable	aimable	ADJ
.	.	PUNCT
Vidal	Vidal	PROPN
.	.	PUNCT
Jou	ieu	PRON
au	el	PRON
bolly	voler	VERB
be	ben	ADV
,	,	PUNCT
May	mai	ADV
certes	cèrtas	ADV
permafe	per+mon+fe	ADV
Qual	caler	VERB
que	qui	PRON
jou	ieu	PRON
te	tu	PRON
digo	dire	VERB
,	,	PUNCT
De	de	ADP
prene	prendre	VERB
un	un	DET
Aignel	anhèl	NOUN
,	,	PUNCT
Per	per	ADP
donna	donar	VERB
al	a+lo	ADP+DET
Rey	rei	PROPN
del	de+lo	ADP+DET
Cel	cèl	PROPN
Afin	afin	ADV
que	que	SCONJ
nous	nos	PRON
benasigo	benasir	VERB
,	,	PUNCT
Guiraud	Guiraud	PROPN
.	.	PUNCT
Fay	far	VERB
so	çò	PRON
que	qui	PRON
voudras	voler	VERB
,	,	PUNCT
May	mai	ADV
àtabe	atanben	ADV
sauras	saber	VERB
,	,	PUNCT
Qu'	que	SCONJ
el	el	PRON
re	res	PRON
non	non	ADV
demando	demandar	VERB
sonquos	sonque	ADV
nostre	nòstre	DET
cor	còr	NOUN
,	,	PUNCT
Aquo'	aquò	PRON
s	èsser	AUX
le	lo	DET
tresor	tresòr	NOUN
,	,	PUNCT
Que	qui	PRON
cal	caler	VERB
bailla	balhar	VERB
en	en	ADP
oufrando	ofranda	NOUN
;	;	PUNCT
Vidal	Vidal	PROPN
.	.	PUNCT
Jou	ieu	PRON
soy	èsser	AUX
fort	fòrt	ADV
rabit	ravir	VERB
,	,	PUNCT
De	de	ADP
so	çò	PRON
que	qui	PRON
m'	ieu	PRON
as	aver	AUX
dit	dire	VERB
,	,	PUNCT
Non	non	ADV
demouren	demorar	VERB
gaire	gaire	ADV
,	,	PUNCT
Per	per	ADP
anna	anar	VERB
adoura	adorar	VERB
,	,	PUNCT
Et	e	CCONJ
per	per	ADP
remercia	remerciar	VERB
,	,	PUNCT
Le	lo	DET
Fil	filh	PROPN
de	de	ADP
Dius	Dieu	PROPN
le	lo	DET
Paire	paire	PROPN
.	.	PUNCT
Pey	puèi	SCONJ
le	el	PRON
pregaren	pregar	VERB
.	.	PUNCT
E	e	CCONJ
may	mai	ADV
la	lo	DET
Jasen	jaire	PROPN
,	,	PUNCT
Qu'	que	SCONJ
un	un	DET
jour	jorn	NOUN
ly	el	PRON
placio	plaire	VERB
,	,	PUNCT
De	de	ADP
nous	nos	PRON
donna	donar	VERB
le	lo	DET
Cel	cèl	PROPN
,	,	PUNCT
Quan	quand	SCONJ
fermaren	fermament	ADV
nostre	nòstre	DET
el	el	PRON
Per	per	ADP
sa	son	DET
santo	sant	ADJ
gracio	gràcia	NOUN
.	.	PUNCT
N29-1		
Noüél	noèl	NOUN
sur	sus	ADP
l'	lo	DET
aire	aire	NOUN
,	,	PUNCT
Que	@french	FM
l'	@french	FM
eau	@french	FM
remplisse	remplir	VERB
un	un	DET
grand	grand	ADJ
Canal	@french	FM
.	.	PUNCT
Helas	ailàs	INTJ
quin	quin	DET
exces	excès	NOUN
de	de	ADP
bountat	bontat	NOUN
,	,	PUNCT
Quin	quin	DET
amour	amor	NOUN
Caritable	caritable	ADJ
,	,	PUNCT
Que	qui	PRON
bejan	véser	VERB
aneit	anuèch	ADV
dins	dins	ADP
l'	lo	DET
Estable	estable	NOUN
,	,	PUNCT
Un	un	DET
Toustou	toston	NOUN
ta	tant	ADV
polit	polit	ADJ
,	,	PUNCT
tout	tot	ADV
ple	plen	ADJ
de	de	ADP
majestat	majestat	NOUN
,	,	PUNCT
El	el	PRON
n'	en	PRON
es	èsser	VERB
aqui	aquí	ADV
dins	dins	ADP
àquelo	aquel	DET
pousturo	postura	NOUN
,	,	PUNCT
Que	que	SCONJ
pel	per+lo	ADP+DET
salut	salut	NOUN
de	de	ADP
touto	tot	DET
la	lo	DET
naturo	natura	NOUN
.	.	PUNCT
bis	bis	ADV
.	.	PUNCT
A	a	ADP
Qui	qui	PRON
l'	el	PRON
a	a	ADP
foursat	forçar	VERB
à	a	ADP
tant	tant	ADV
paty	patir	VERB
,	,	PUNCT
A	a	ADP
soufry	sofrir	VERB
tant	tant	ADV
de	de	ADP
penos	pena	NOUN
,	,	PUNCT
Aquo	aquò	PRON
n'	non	ADV
es	èsser	AUX
pas	pas	ADV
re	res	PRON
,	,	PUNCT
may	mai	ADV
sas	son	DET
benos	vena	NOUN
,	,	PUNCT
Daban	davant	ADP
de	de	ADP
pauc	pauc	ADV
de	de	ADP
tens	temps	NOUN
,	,	PUNCT
ly	el	PRON
au	el	PRON
faran	far	VERB
be	ben	ADV
senty	sentir	VERB
,	,	PUNCT
Dins	dins	ADP
qualques	qualque	DET
jours	jorn	NOUN
le	lo	DET
tail	talh	NOUN
de	de	ADP
la	lo	DET
coutello	cotèl	NOUN
,	,	PUNCT
Le	el	PRON
picara	picar	VERB
,	,	PUNCT
quino	quin	DET
causo	causa	NOUN
cruello	cruèl	ADJ
.	.	PUNCT
bis	bis	ADV
.	.	PUNCT
Aquo'	aquò	PRON
s	èsser	AUX
nous	nos	PRON
aus	autre	ADJ
qu'	qui	PRON
én	èsser	AUX
les	lo	DET
auturs	autor	NOUN
,	,	PUNCT
De	de	ADP
touto	tot	DET
sa	son	DET
misero	misèra	NOUN
,	,	PUNCT
É	e	CCONJ
s'	se	SCONJ
el	el	PRON
abio	aver	AUX
tengut	tenir	VERB
coulero	colèra	NOUN
,	,	PUNCT
Que	que	SCONJ
serion	èsser	AUX
debenguts	devenir	VERB
,	,	PUNCT
claufidis	claufir	VERB
de	de	ADP
malhurs	malur	NOUN
,	,	PUNCT
Mai	mai	ADV
soun	son	DET
amour	amor	NOUN
a	aver	AUX
fait	far	VERB
qu'	que	SCONJ
el	el	PRON
a	aver	AUX
pres	prendre	VERB
Maire	maire	NOUN
,	,	PUNCT
s’	el	PRON
es	èsser	AUX
incarnat	encarnar	VERB
pel	per+lo	ADP+DET
boule	voler	VERB
de	de	ADP
soun	son	DET
paire	paire	NOUN
.	.	PUNCT
bis	bis	ADV
.	.	PUNCT
N29-2		
Noüél	noèl	NOUN
sur	sus	ADP
l'	lo	DET
aire	aire	NOUN
,	,	PUNCT
Zephirs	@french	FM
qui	@french	FM
baisez	@french	FM
les	@french	FM
Roses	@french	FM
aussi-tost	@french	FM
qu'	@french	FM
elles	@french	FM
sont	@french	FM
écloses	@french	FM
.	.	PUNCT
Jamay	jamai	ADV
ta	tant	ADV
grandos	grand	ADJ
merbeillos	mervelha	NOUN
,	,	PUNCT
Pastous	pastor	NOUN
,	,	PUNCT
quiten	quitar	VERB
nostros	nòstre	DET
aoüeillos	oelheta	NOUN
,	,	PUNCT
E	e	CCONJ
n'	non	ADV
ajan	aver	VERB
pas	pas	ADV
briquo	brica	ADV
de	de	ADP
poou	paur	NOUN
del	de+lo	ADP+DET
loup	lop	NOUN
.	.	PUNCT
Anen	anar	VERB
touts	tot	PRON
à	a	ADP
bel	bèl	ADJ
tal	talh	NOUN
Canta	cantar	VERB
quelque	calque	DET
loüanjo	loanja	NOUN
,	,	PUNCT
Al	a+lo	ADP+DET
coufin	cofin	NOUN
d'	de	ADP
uno	un	DET
granjo	granja	NOUN
.	.	PUNCT
bis	bis	ADV
.	.	PUNCT
Aneit	anuèch	ADV
d'	de	ADP
uno	un	DET
Bierges	verge	ADJ
Maire	maire	NOUN
Le	lo	PRON
qu'	qui	PRON
a	aver	AUX
creat	crear	VERB
la	lo	DET
terro	tèrra	NOUN
,	,	PUNCT
l’	lo	DET
aire	aire	NOUN
,	,	PUNCT
Nais	nàisser	VERB
dins	dins	ADP
un	un	DET
loc	luòc	NOUN
digne	digne	ADJ
de	de	ADP
compassiu	compassion	NOUN
.	.	PUNCT
Anen	anar	VERB
touts	tot	PRON
en	en	ADP
cantan	cantar	VERB
,	,	PUNCT
etc	etc	X
.	.	PUNCT
A	a	ADP
qui	qui	PRON
patis	patir	VERB
per	per	ADP
soun	son	DET
poble	pòble	NOUN
,	,	PUNCT
Dins	dins	ADP
aquel	aquel	DET
loc	luòc	NOUN
ses	sens	ADP
cap	cap	DET
de	de	ADP
moble	mòble	NOUN
,	,	PUNCT
Per	per	ADP
nous	nos	PRON
poude	poder	VERB
douna	donar	VERB
le	lo	DET
Paradis	paradís	PROPN
.	.	PUNCT
Anen	anar	VERB
touts	tot	PRON
en	en	ADP
.	.	PUNCT
etc	etc	X
,	,	PUNCT
Le	lo	DET
fret	freg	NOUN
que	qui	PRON
le	el	PRON
persecuto	persecutar	VERB
,	,	PUNCT
se	el	PRON
ran	rendre	VERB
Mestre	mèstre	NOUN
d'	de	ADP
aquelo	aquel	DET
turo	tura	NOUN
,	,	PUNCT
E	e	CCONJ
re	res	PRON
nou	non	ADV
pot	poder	VERB
le	el	PRON
teny	tenir	VERB
escalfurat	escalfurar	VERB
.	.	PUNCT
Anen	anar	VERB
touts	tot	PRON
en	en	ADP
cantan	cantar	VERB
,	,	PUNCT
etc	etc	X
.	.	PUNCT
Moun	mon	DET
Diu	Dieu	PROPN
fasets	far	VERB
me	ieu	PRON
fa	far	VERB
plasso	plaça	NOUN
,	,	PUNCT
Enquaro	encara	ADV
que	que	SCONJ
sio	èsser	AUX
la	lo	DET
plus	pus	ADV
basso	bas	ADJ
,	,	PUNCT
Quant	quand	SCONJ
aure	aver	AUX
fait	far	VERB
le	lo	DET
darrie	darnièr	ADJ
badaillol	badalhòl	NOUN
.	.	PUNCT
Cepandan	çòpendent	ADV
cantare	cantar	VERB
,	,	PUNCT
Per	per	ADP
tout	tot	PRON
bostro	vòstre	DET
loüanjo	loanja	NOUN
,	,	PUNCT
A	a	ADP
may	mai	ADV
dedins	dedins	ADP
La	lo	DET
granjo	granja	NOUN
,	,	PUNCT
N29-3		
Autre	autre	ADJ
Noüél	noèl	NOUN
sur	sus	ADP
l'	lo	DET
aire	aire	NOUN
,	,	PUNCT
sur	@french	FM
le	@french	FM
bort	@french	FM
d'	de	ADP
un	un	DET
coulant	@french	FM
ruisseau	@french	FM
la	@french	FM
Bergere	@french	FM
Nannete	@french	FM
.	.	PUNCT
sul	sus+lo	ADP+DET
tens	temps	NOUN
plus	pus	ADV
maubes	maubès	ADJ
de	de	ADP
l'	lo	DET
iber	ivèrn	NOUN
,	,	PUNCT
Dins	dins	ADP
un	un	DET
coufin	cofin	NOUN
d'	de	ADP
Estable	estable	NOUN
A	ah	INTJ
qu'	que	ADV
aquo'	aquò	PRON
s	èsser	AUX
deplourable	deplorable	ADJ
,	,	PUNCT
Ta	tant	ADV
mal	mal	ADV
iniert	ingèrt	ADJ
,	,	PUNCT
Chuquo	chucar	VERB
la	lo	DET
poupeto	popeta	NOUN
,	,	PUNCT
Le	lo	DET
gran	grand	ADJ
Rey	rei	PROPN
des	de+lo	ADP+DET
Pastous	pastor	NOUN
,	,	PUNCT
A	a	ADP
la	lo	DET
sibo	sieu	ADJ
maireto	maire	NOUN
,	,	PUNCT
Ah	ah	INTJ
qu'	que	ADV
aquo’	aquò	PRON
s	èsser	AUX
pietadous	pietadós	ADJ
.	.	PUNCT
Aquel	aquel	DET
Toustou	toston	PROPN
ple	plen	ADJ
d'	de	ADP
amistat	amistat	NOUN
,	,	PUNCT
Tout	tot	ADV
emplenat	emplenar	VERB
de	de	ADP
grassio	gràcia	NOUN
,	,	PUNCT
Au	el	PRON
mens	mens	NOUN
nou	non	ADV
bous	vos	PRON
desplassio	desplaire	VERB
,	,	PUNCT
N'	non	ADV
a	aver	AUX
pas	pas	ADV
restat	restar	VERB
,	,	PUNCT
Besen	véser	VERB
las	lo	DET
ouffensos	ofença	NOUN
,	,	PUNCT
De	de	ADP
sous	son	DET
grans	grand	ADJ
pecadous	pecador	NOUN
,	,	PUNCT
De	de	ADP
prene	prendre	VERB
de	de	ADP
souffrenssos	sofrença	NOUN
,	,	PUNCT
A	ah	INTJ
qu'	que	ADV
aquo’	aquò	PRON
s	èsser	AUX
merbeillous	mervelhós	ADJ
.	.	PUNCT
Bierges	verge	PROPN
bous	vos	PRON
soulo	sol	ADJ
abets	aver	VERB
l'	lo	DET
aunou	onor	NOUN
,	,	PUNCT
D'	de	ADP
abe	aver	VERB
mes	metre	VERB
dins	dins	ADP
le	lo	DET
mounde	monde	NOUN
,	,	PUNCT
N'	non	ADV
y	i	PRON
a	aver	VERB
re	res	PRON
que	qui	PRON
bous	vos	PRON
segounde	segondar	VERB
,	,	PUNCT
Tout	tot	ADV
à	a	ADP
de	de	ADP
bou	bon	ADJ
Fasets	far	VERB
qu'	que	SCONJ
el	el	PRON
que	qui	PRON
gouberne	governar	VERB
.	.	PUNCT
Me	ieu	PRON
boute	botar	VERB
dins	dins	ADP
le	lo	DET
Cel	cèl	PROPN
,	,	PUNCT
Noun	non	ADV
pas	pas	ADV
dins	dins	ADP
la	lo	DET
caberno	cavèrna	NOUN
,	,	PUNCT
D'	de	ADP
aquel	aquel	DET
maudit	maldire	ADJ
Angel	àngel	NOUN
.	.	PUNCT
Autromen	autrament	ADV
tout	tot	PRON
ero	èsser	AUX
