tokens,lemma,POS
per,per,ADP
parla,parlar,VERB
coumo,coma,ADV
l',lo,DET
Apostoul,Apòstol,NOUN
",",",",PUNCT
un,un,DET
élo,el,PRON
segoun,segon,ADP
scienço,sciencia,NOUN
",",",",PUNCT
que,qui,PRON
tabe,tanben,ADV
segoundo,segondar,VERB
é,e,CCON
seguis,seguir,VERB
la,lo,DET
claro,clar,ADJ
couneissenço,coneissença,NOUN
que,qui,PRON
Bous,vos,PRON
abéts,aver,VERB
",",",",PUNCT
del,de+lo,ADP+DET
gran,grand,ADJ
besoun,besonh,NOUN
qu',qui,PRON
a,aver,VERB
le,lo,DET
popple,pòble,NOUN
",",",",PUNCT
d',de,ADP
un,un,DET
pa,pan,NOUN
de,de,ADP
Douctrino,doctrina,NOUN
",",",",PUNCT
que,qui,PRON
siô,èsser,AUX
aprestat,aprestar,VERB
counbenablomen,convenablament,ADV
à,a,ADP
la,lo,DET
petito,petit,ADJ
bertut,vertut,NOUN
",",",",PUNCT
(,(,PUNCT
se,se,SCON
nou,non,ADV
cal,caler,VERB
dire,dire,VERB
à,a,ADP
la,lo,DET
feblesso,feblessa,NOUN
),),PUNCT
de,de,ADP
l',lo,DET
estoumac,estomac,NOUN
de,de,ADP
soun,son,DET
simpl',simple,ADJ
esprit,esperit,NOUN
.,.,PUNCT
Zélo,zèl,NOUN
que,qui,PRON
Bous,vos,PRON
a,aver,AUX
fait,far,VERB
trouba,trobar,VERB
bou,bon,ADJ
",",",",PUNCT
que,que,SCON
bostres,vòstre,DET
prumiés,prumièr,ADJ
Missiounaris,missionari,NOUN
benguts,venir,VERB
de,de,ADP
Franço,França,PROPN
",",",",PUNCT
s',el,PRON
estudiésson,estudiar,VERB
al,a+lo,ADP+DET
lengatge,lengatge,NOUN
d',de,ADP
aqueste,aqueste,DET
payis,país,NOUN
",",",",PUNCT
per,per,ADP
s',el,PRON
en,en,PRON
serbi,servir,VERB
",",",",PUNCT
coumo,coma,ADV
an,aver,AUX
fait,far,VERB
urousomen,urosament,ADV
.,.,PUNCT
E,e,CCON
tabe,tanben,ADV
que,que,SCON
las,lo,DET
principalos,principal,ADJ
péços,peça,NOUN
de,de,ADP
la,lo,DET
Douctrino,doctrina,NOUN
",",",",PUNCT
fesson,far,VERB
mesos,metre,VERB
en,en,ADP
lengo,lenga,NOUN
é,e,CCON
en,en,ADP
rimo,rima,NOUN
bulgario,vulgar,ADJ
",",",",PUNCT
per,per,ADP
poude,poder,VERB
estre,èsser,AUX
cantados,cantar,VERB
",",",",PUNCT
é,e,CCON
atal,aital,ADV
milhou,melhor,ADV
retengudos,retenir,VERB
de,de,ADP
la,lo,DET
joüenesso,joinessa,NOUN
des,de+lo,ADP+DET
camps,camp,NOUN
.,.,PUNCT
E,e,CCON
coumo,coma,ADV
le,lo,DET
tens,temps,NOUN
ajudo,ajudar,VERB
fort,fòrt,ADV
à,a,ADP
perfecciouna,perfeccionar,VERB
toutos,tot,DET
causos,causa,NOUN
;,;,PUNCT
aquel,aquel,DET
coumençomen,començament,NOUN
a,aver,AUX
dounat,donar,VERB
oubértuno,obertura,NOUN
à,a,ADP
l',lo,DET
inbenciu,invencion,NOUN
",",",",PUNCT
o,o,CCON
per,per,ADP
milhou,melhor,ADV
dire,dire,VERB
à,a,ADP
l',lo,DET
acoumplissomen,acomplissament,NOUN
de,de,ADP
las,lo,DET
péços,peça,NOUN
que,qui,PRON
mancaon,mancar,VERB
amm',amb,ADP
aquel,aquel,DET
oubratje,obratge,NOUN
impérfét,imperfach,ADJ
",",",",PUNCT
qu',qui,PRON
on,òm,PRON
a,aver,AUX
tachat,tachar,VERB
d',de,ADP
acoumouda,acomodar,VERB
un,un,DET
pauc,pauc,NOUN
milhou,melhor,ADV
que,que,SCON
n',en,PRON
anao,anar,VERB
",",",",PUNCT
Beci,veicí,VERB
dounc,donc,ADV
as,a+lo,ADP+DET
pés,pè,NOUN
de,de,ADP
bostro,vòstre,DET
Pastouralo,pastoral,NOUN
Dignitat,dignitat,NOUN
",",",",PUNCT
MOUNSEIGNOU,monsenhor,NOUN
",",",",PUNCT
touto,tot,DET
la,lo,DET
Douctrino,doctrina,NOUN
meso,metre,VERB
en,en,ADP
rimos,rima,NOUN
",",",",PUNCT
que,qui,PRON
nou,non,ADV
demando,demandar,ADJ
",",",",PUNCT
é,e,CCON
n',non,ADV
aten,atendre,VERB
que,que,ADV
bostro,vòstre,DET
santo,sant,ADJ
benedicciu,benediccion,NOUN
:,:,PUNCT
à,a,ADP
fi,fin,NOUN
que,que,SCON
pésco,poder,VERB
pus,pus,ADV
asseguradomen,asseguradament,ADV
sourti,sortir,VERB
al,a+lo,ADP+DET
joun,jorn,NOUN
",",",",PUNCT
jouts,jots,ADP
las,lo,DET
alos,ala,NOUN
de,de,ADP
bostro,vòstre,DET
permissiu,permission,NOUN
",",",",PUNCT
per,per,ADP
l',lo,DET
usatje,usatge,NOUN
de,de,ADP
bostre,vòstre,DET
popple,pòble,NOUN
",",",",PUNCT
qu',qui,PRON
au,el,PRON
demando,demandar,ADJ
aprép,aprèp,ADP
abe,aver,AUX
tastat,tastar,VERB
per,per,ADP
abanço,avança,NOUN
",",",",PUNCT
é,e,CCON
troubat,trobar,VERB
de,de,ADP
soun,son,DET
goust,gost,NOUN
qualcos,qualque,DET
unos,un,PRON
de,de,ADP
lai,lo,DET
ditos,dire,ADJ
péços,peça,NOUN
.,.,PUNCT
E,e,CCON
tabe,tanben,ADV
per,per,ADP
satisfa,satisfar,VERB
al,a+lo,ADP+DET
desir,desir,NOUN
de,de,ADP
forço,fòrça,ADV
bounos,bon,ADJ
Armos,arma,NOUN
",",",",PUNCT
qu',qui,PRON
encaro,encara,ADV
que,que,SCON
nou,non,ADV
siôn,èsser,VERB
pas,pas,ADV
al,a+lo,ADP+DET
reng,reng,NOUN
del,de+lo,ADP+DET
popple,pòble,NOUN
",",",",PUNCT
la,lo,DET
soulo,sol,ADJ
caritat,caritat,NOUN
",",",",PUNCT
é,e,CCON
le,lo,DET
zélo,zèl,NOUN
del,de+lo,ADP+DET
be,ben,NOUN
public,public,NOUN
",",",",PUNCT
à,a,ADP
pourtados,portar,VERB
amm',amb,ADP
aquel,aquel,DET
desir,desir,NOUN
.,.,PUNCT
L',lo,DET
inclinaciu,inclinacion,NOUN
que,qui,PRON
bostro,vòstre,DET
caritat,caritat,NOUN
é,e,CCON
soulicitudo,solicitud,NOUN
Pastouralo,pastoral,ADJ
",",",",PUNCT
iusquos,juscas,ADV
à,a,ADP
presen,present,ADJ
nous,nos,PRON
a,aver,AUX
fait,far,VERB
bese,véser,VERB
que,que,SCON
bous,vos,PRON
abéts,aver,VERB
à,a,ADP
fabourisa,favorisar,VERB
é,e,CCON
autourisa,autorisar,VERB
de,de,ADP
bostro,vòstre,DET
approubaciu,aprobacion,NOUN
;,;,PUNCT
toutis,tot,PRON
talis,tal,DET
semblables,semblable,ADJ
oubratjes,obratge,NOUN
",",",",PUNCT
que,qui,PRON
regardon,regardar,VERB
le,lo,DET
be,ben,NOUN
",",",",PUNCT
é,e,CCON
salut,salut,NOUN
de,de,ADP
bostre,vòstre,DET
troupél,tropèl,NOUN
",",",",PUNCT
nou,non,ADV
nous,nos,PRON
permet,permetre,VERB
pas,pas,ADV
de,de,ADP
doubta,dobtar,VERB
qu',que,SCON
aquesto,aqueste,DET
inbenciu,invencion,NOUN
nou,non,ADV
siô,èsser,VERB
pas,pas,ADV
de,de,ADP
bostre,vòstre,DET
goust,gost,NOUN
.,.,PUNCT
Més,mas,CCON
al,a+lo,ADP+DET
countrari,contrari,NOUN
nous,nos,PRON
oubligo,obligar,VERB
à,a,ADP
espera,esperar,VERB
",",",",PUNCT
que,que,SCON
sera,èsser,VERB
la,lo,DET
benbengudo,benvenir,NOUN
daban,davant,ADP
Bous,vos,PRON
.,.,PUNCT
Aquel,aquel,PRON
qu',qui,PRON
a,aver,AUX
troubat,trobar,VERB
le,lo,DET
lezé,léser,NOUN
de,de,ADP
baca,vacar,VERB
amm',amb,ADP
aqueste,aqueste,DET
petit,petit,ADJ
oubratje,obratge,NOUN
",",",",PUNCT
estan,èsser,VERB
le,lo,DET
mendre,mendre,NOUN
de,de,ADP
bostres,vòstre,DET
Missiounaris,missionari,NOUN
",",",",PUNCT
é,e,CCON
indigne,indigne,ADJ
d',de,ADP
aquel,aquel,DET
titre,tire,NOUN
",",",",PUNCT
n',non,ADV
a,aver,AUX
pas,pas,ADV
meritat,meritar,VERB
l',lo,DET
aunou,onor,NOUN
d',de,ADP
éstre,èsser,AUX
nonmmat,nommar,VERB
publicomen,publicament,ADV
.,.,PUNCT
Le,lo,DET
passoport,passar+pòrt,NOUN
de,de,ADP
bostro,vòstre,DET
dispenço,dispença,NOUN
le,lo,PRON
desquitara,desquitar,VERB
prou,pro,ADV
:,:,PUNCT
de,de,ADP
l',lo,DET
oubligaciu,obligacion,NOUN
qu',qui,PRON
el,el,PRON
poudiô,poder,VERB
abe,aver,VERB
d',de,ADP
esprima,exprima,VERB
soun,son,DET
noum,nom,NOUN
",",",",PUNCT
que,qui,PRON
Bous,vos,PRON
es,èsser,AUX
counescut,conéisser,VERB
despéi,despuèi,ADP
loung,long,ADJ
ten,tenir,VERB
coumo,coma,ADV
tabe,tanben,ADV
Bous,vos,PRON
sabéts,saber,VERB
qu',que,SCON
es,èsser,VERB
un,un,PRON
de,de,ADP
bostres,vòstre,DET
pus,pus,ADV
fidéls,fidèl,ADJ
é,e,CCON
oubeissens,obeïr,ADJ
serbitous,servidor,NOUN
",",",",PUNCT
que,que,SCON
se,se,SCON
n',en,PRON
abiô,aver,VERB
pôou,paur,NOUN
d',de,ADP
ouffença,ofençar,VERB
les,lo,DET
autres,autre,PRON
",",",",PUNCT
se,el,PRON
diriô,dire,VERB
le,lo,DET
pus,pus,ADV
fidél,fidèl,ADJ
é,e,CCON
affiscat,afiscar,ADJ
de,de,ADP
touts,tot,PRON
à,a,ADP
bostre,vòstre,DET
serbici,servici,NOUN
",",",",PUNCT
MOUNSEIGNOU,monsenhor,NOUN
",",",",PUNCT
encaro,encara,ADV
qu',que,SCON
ajo,aver,VERB
mens,mens,ADP
de,de,ADP
capacitat,capacitat,NOUN
é,e,CCON
de,de,ADP
poude,poder,VERB
per,per,ADP
l',lo,DET
execuciu,execucion,NOUN
de,de,ADP
sa,son,DET
bouno,bon,ADJ
boulountat,volontat,NOUN
.,.,PUNCT
###,###,
ABANPERPAVS,abans-perpaus,NOUN
QU',qui,PRON
ES,èsser,VERB
impourtant,important,ADJ
qu',que,SCON
on,òm,PRON
legisco,legir,VERB
daban,davant,ADP
d',de,ADP
entemena,entementar,VERB
la,lo,DET
lecturo,lectura,NOUN
de,de,ADP
la,lo,DET
Douctrino,doctrina,NOUN
.,.,PUNCT
COumo,coma,ADV
lai,lo,DET
maubésos,maubès,ADJ
cançous,cançon,NOUN
",",",",PUNCT
enemigos,enemic,NOUN
de,de,ADP
la,lo,DET
castetat,castetat,NOUN
",",",",PUNCT
quand,quand,SCON
le,lo,DET
sutjét,subjèct,NOUN
es,èsser,VERB
desounést,desonèst,ADJ
:,:,PUNCT
o,o,CCON
countrarios,contrari,ADJ
à,a,ADP
la,lo,DET
caritat,caritat,NOUN
quand,quand,SCON
l',lo,DET
aunou,onor,NOUN
de,de,ADP
Diu,Dieu,PROPN
",",",",PUNCT
o,o,CCON
del,de+lo,ADP+DET
prouchén,prochen,NOUN
y,i,PRON
es,èsser,AUX
ouffençado,ofençar,VERB
:,:,PUNCT
soun,son,DET
toutos,tot,DET
faitos,far,VERB
é,e,CCON
fourmados,formar,VERB
su,sus,ADP
l',lo,DET
emmolle,emmole,NOUN
del,de+lo,ADP+DET
maubés,maubès,ADJ
esprit,esperit,NOUN
",",",",PUNCT
per,per,ADP
pérdre,perdre,VERB
las,lo,DET
Armos,arma,NOUN
que,qui,PRON
s',el,PRON
y,i,PRON
plasen,plaser,VERB
.,.,PUNCT
Tabe,tanben,ADV
al,a+lo,ADP+DET
countrari,contrari,NOUN
",",",",PUNCT
lei,lo,DET
sants,sant,ADJ
cantiques,cantica,NOUN
",",",",PUNCT
toutis,tot,PRON
sacrats,sagrar,ADJ
é,e,CCON
ensucrats,ensucrar,VERB
de,de,ADP
debouciu,devocion,NOUN
",",",",PUNCT
soun,èsser,AUX
tirats,tirar,VERB
de,de,ADP
l',lo,DET
inspiraciu,inspiracion,NOUN
é,e,CCON
moubomen,movament,NOUN
del,de+lo,ADP+DET
Santesprit,sant+esperit,PROPN
",",",",PUNCT
per,per,ADP
ajuda,ajudar,VERB
lai,lo,DET
bounos,bon,ADJ
Armos,arma,NOUN
à,a,ADP
fa,far,VERB
lour,lor,DET
salut,salut,NOUN
.,.,PUNCT
§,§,SYM
.,.,PUNCT
1,1,PRON
.,.,PUNCT
De,de,ADP
l',lo,DET
Antiquitat,antiquitat,NOUN
de,de,ADP
las,lo,DET
sacrados,sagrar,ADJ
cançous,cançon,NOUN
",",",",PUNCT
deméi,demèst,ADP
le,lo,DET
popple,pòble,NOUN
Crestia,crestian,ADJ
.,.,PUNCT
S',se,SCON
éro,èsser,VERB
questiu,question,NOUN
en,en,ADP
general,general,ADJ
de,de,ADP
l',lo,DET
Antiquitat,antiquitat,NOUN
de,de,ADP
lai,lo,DET
bounos,bon,ADJ
cançous,cançon,NOUN
",",",",PUNCT
on,òm,PRON
pouyriô,poder,VERB
alega,allegar,VERB
le,lo,DET
temouignatge,temonhatge,NOUN
del,de+lo,ADP+DET
Filosofo,filosòf,NOUN
",",",",PUNCT
que,qui,PRON
raporto,raportar,VERB
que,que,SCON
lai,lai,ADV
Les,lei,NOUN
pourtaon,portar,VERB
le,lo,DET
noum,nom,NOUN
de,de,ADP
Cançou,cançon,NOUN
:,:,PUNCT
noun,non,ADV
pas,pas,ADV
al,a+lo,ADP+DET
sens,sens,NOUN
d',de,ADP
aqueste,aqueste,DET
payis,país,NOUN
",",",",PUNCT
que,qui,PRON
pren,prendre,VERB
absoludomen,absoludament,ADV
le,lo,DET
mout,mot,NOUN
de,de,ADP
Cançou,cançon,NOUN
",",",",PUNCT
per,per,ADP
uno,un,DET
causo,causa,NOUN
de,de,ADP
nou,non,ADV
re,res,PRON
.,.,PUNCT
Més,mas,CCON
al,a+lo,ADP+DET
countrari,contrari,NOUN
",",",",PUNCT
permo,permor,ADV
que,que,SCON
l',lo,DET
impourtanço,importança,NOUN
de,de,ADP
las,lo,DET
Les,lei,NOUN
",",",",PUNCT
demandao,demandar,VERB
qu',que,SCON
elos,el,PRON
fesson,far,VERB
cantados,cantar,VERB
",",",",PUNCT
per,per,ADP
n',non,ADV
éstre,èsser,AUX
pas,pas,ADV
oublidados,oblidar,VERB
del,de+lo,ADP+DET
popple,pòble,NOUN
.,.,PUNCT
Talomen,talament,ADV
que,que,SCON
le,lo,DET
cant,cant,NOUN
de,de,ADP
lai,lo,DET
Les,lei,NOUN
",",",",PUNCT
teignô,tenir,VERB
le,lo,DET
loc,luòc,NOUN
de,de,ADP
l',lo,DET
escrituro,escritura,NOUN
",",",",PUNCT
demés,demèst,ADP
lai,lo,DET
gens,gent,NOUN
que,qui,PRON
las,lo,DET
cantaon,cantar,VERB
.,.,PUNCT
Més,mas,CCON
nouy,nos,PRON
n',non,ADV
abén,aver,VERB
pas,pas,ADV
besoun,besonh,NOUN
de,de,ADP
l',lo,DET
exemple,exemple,NOUN
d',de,ADP
aquelis,aquel,DET
popples,pòble,NOUN
anciéns,ancien,ADJ
",",",",PUNCT
(,(,PUNCT
que,qui,PRON
s',el,PRON
en,en,PRON
anaon,anar,VERB
toutis,tot,PRON
perduts,perdre,VERB
en,en,ADP
Ifér,infèrn,PROPN
",",",",PUNCT
ambe,amb,ADP
toutoi,tot,PROPN
lour,lor,DET
Les,lei,NOUN
cantados,cantar,VERB
",",",",PUNCT
à,a,ADP
fauto,fauta,NOUN
de,de,ADP
nou,non,ADV
sabe,saber,VERB
la,lo,DET
Douctrino,doctrina,NOUN
de,de,ADP
salut,salut,NOUN
),),PUNCT
.,.,PUNCT
Per,per,ADP
dire,dire,VERB
que,que,SCON
",",",",PUNCT
Aço,aquò,PRON
n',non,ADV
es,èsser,VERB
pas,pas,ADV
causo,causa,NOUN
noubélo,novèl,ADJ
",",",",PUNCT
que,que,SCON
de,de,ADP
nostre,nòstre,DET
tens,temps,NOUN
le,lo,DET
popple,pòble,NOUN
crestia,crestian,ADJ
",",",",PUNCT
siô,èsser,AUX
pourtat,portar,VERB
à,a,ADP
canta,cantar,VERB
de,de,ADP
rimos,rima,NOUN
",",",",PUNCT
que,qui,PRON
poden,poder,VERB
serbi,servir,VERB
a,a,ADP
esclaira,esclairar,VERB
soun,son,DET
entendemen,entendament,NOUN
sur,sus,ADP
les,lo,DET
punts,ponch,NOUN
de,de,ADP
sa,son,DET
cresenço,cresença,NOUN
",",",",PUNCT
é,e,CCON
enflamma,enflamar,VERB
soun,son,DET
cor,còr,NOUN
à,a,ADP
l',lo,DET
amour,amor,NOUN
del,de+lo,ADP+DET
beray,verai,ADJ
Diu,Dieu,PROPN
.,.,PUNCT
Les,lo,DET
escrius,escriure,NOUN
dei,de+lo,ADP+DET
Sants,sant,ADJ
Payres,paire,NOUN
",",",",PUNCT
é,e,CCON
pus,pus,ADV
anciéns,ancien,ADJ
Douctous,doctor,NOUN
de,de,ADP
la,lo,DET
Gléyso,Glèsia,PROPN
",",",",PUNCT
nous,nos,PRON
asseguron,assegurar,VERB
que,que,SCON
talo,tal,DET
éro,èsser,VERB
la,lo,DET
pratico,pratica,NOUN
des,de+lo,ADP+DET
crestias,crestian,ADJ
d',de,ADP
aquel,aquel,DET
tens,temps,NOUN
",",",",PUNCT
Pratico,pratica,NOUN
qu',qui,PRON
éro,èsser,AUX
bengudo,venir,VERB
de,de,ADP
l',lo,DET
instrucciu,instruccion,NOUN
deis,de+lo,ADP+DET
Apostouls,Apòstol,NOUN
:,:,PUNCT
é,e,CCON
specialomen,especialament,ADV
de,de,ADP
Sant,sant,ADJ
Pau,Pau,PROPN
que,qui,PRON
recoumandao,recomandar,VERB
as,a+lo,ADP+DET
Crestias,crestian,ADJ
de,de,ADP
Colosso,Colòssa,PROPN
",",",",PUNCT
que,qui,PRON
tenguesson,tenir,VERB
din,dins,ADP
lour,lor,DET
cor,còr,NOUN
forço,fòrça,DET
proubisiu,provision,NOUN
é,e,CCON
aboundancio,abondáncia,NOUN
del,de+lo,ADP+DET
pa,pan,NOUN
de,de,ADP
la,lo,DET
Paraulo,paraula,NOUN
é,e,CCON
Douctrino,doctrina,NOUN
dé,de,ADP
JESU,Jèsus,PROPN
-,-,PUNCT
CRIST,Crist,PROPN
é,e,CCON
qu',que,SCON
eli,el,PRON
metisses,meteis,ADV
s',el,PRON
enseignésson,ensenhar,VERB
",",",",PUNCT
é,e,CCON
s',el,PRON
abertisquesson,avertir,VERB
Ambe,amb,ADP
de,de,ADP
Psalmes,psalme,NOUN
",",",",PUNCT
d',de,ADP
Imnes,imne,NOUN
",",",",PUNCT
é,e,CCON
de,de,ADP
cançous,cançon,NOUN
espiritualos,espiritual,ADJ
cantados,cantar,VERB
de,de,ADP
boun,bon,ADJ
cor,còr,NOUN
",",",",PUNCT
é,e,CCON
de,de,ADP
bouno,bon,ADJ
gracio,gràcia,NOUN
.,.,PUNCT
La,lo,DET
oun,ont,PRON
Sant,sant,ADJ
Jerome,Jeròme,PROPN
remérco,rembre,VERB
que,que,SCON
noun,non,ADV
soulomen,solament,ADV
lai,lo,DET
gens,gent,NOUN
de,de,ADP
Gléyso,Glèisa,PROPN
:,:,PUNCT
més,mas,CCON
tabe,tanben,ADV
lai,lo,DET
gens,gent,NOUN
laygos,laïc,ADJ
",",",",PUNCT
segoun,segon,ADP
l',lo,DET
abist,avís,NOUN
de,de,ADP
Sant,sant,ADJ
Pau,Pau,PROPN
",",",",PUNCT
diuriôn,dever,VERB
abe,aver,VERB
proubisiu,provision,NOUN
é,e,CCON
aboundancio,abondáncia,NOUN
de,de,ADP
la,lo,DET
santo,sant,ADJ
Paraulo,paraula,NOUN
é,e,CCON
Douctrino,doctrina,NOUN
de,de,ADP
Nostre,nòstre,DET
Seigne,sénher,PROPN
",",",",PUNCT
per,per,ADP
s',el,PRON
en,en,ADP
entreteni,entretenir,VERB
.,.,PUNCT
Noun,non,ADV
pas,pas,ADV
que,que,SCON
per,per,ADP
acô,aquò,PRON
siô,èsser,VERB
besoun,besonh,NOUN
que,que,SCON
tout,tot,DET
le,lo,DET
mounde,monde,NOUN
maneje,manejar,VERB
la,lo,DET
santo,sant,ADJ
scrituro,escritura,NOUN
.,.,PUNCT
Més,mas,CCON
per,per,ADP
fa,far,VERB
entendre,entendre,VERB
que,que,SCON
las,lo,DET
cançous,cançon,NOUN
espiritualos,espiritual,ADJ
",",",",PUNCT
o,o,CCON
autros,autre,DET
péços,peça,NOUN
de,de,ADP
debouciu,devocion,NOUN
",",",",PUNCT
que,qui,PRON
Sant,sant,ADJ
Pau,Pau,PROPN
demandao,demandar,VERB
",",",",PUNCT
soun,èsser,VERB
un,un,DET
fort,fòrt,ADV
boun,bon,ADJ
mobble,mòble,NOUN
de,de,ADP
la,lo,DET
memorio,memòria,NOUN
d',de,ADP
un,un,DET
crestia,crestian,ADJ
",",",",PUNCT
per,per,ADP
teni,tenir,VERB
bibo,viu,ADJ
la,lo,DET
Fe,fe,NOUN
",",",",PUNCT
assegura,assegurar,VERB
l',lo,DET
Esperanço,esperança,NOUN
",",",",PUNCT
é,e,CCON
nouyri,noirir,VERB
l',lo,DET
Amour,amor,NOUN
de,de,ADP
Diu,Dieu,PROPN
dins,dins,ADP+DET
soun,son,DET
cor,còr,NOUN
.,.,PUNCT
Le,lo,DET
mémo,mèma,DET
Apostoul,Apòstol,NOUN
enseignao,ensenhar,VERB
as,a+lo,ADP+DET
crestias,crestian,ADJ
d',de,ADP
Ephéso,Efèsa,PROPN
",",",",PUNCT
qu',que,SCON
en,en,ADP
lour,lor,DET
festins,festin,NOUN
reciproques,recipròc,ADJ
",",",",PUNCT
que,qui,PRON
fasiôn,far,VERB
per,per,ADP
entreteni,entretenir,VERB
la,lo,DET
caritat,caritat,NOUN
é,e,CCON
amistanço,amistança,NOUN
fraternalo,fraternal,ADJ
",",",",PUNCT
se,el,PRON
ramplisquesson,ramplir,VERB
noun,non,ADV
pas,pas,ADV
del,de+lo,ADP+DET
bi,vin,NOUN
de,de,ADP
la,lo,DET
bigno,vinha,NOUN
",",",",PUNCT
que,qui,PRON
quan,quand,SCON
n',non,ADV
es,èsser,AUX
atemperat,atemperar,VERB
é,e,CCON
mesurat,mesurar,VERB
",",",",PUNCT
endoumatjo,endomatjar,NOUN
touto,tot,DET
la,lo,DET
per,per,ADP
souno,sonar,VERB
",",",",PUNCT
é,e,CCON
cos,còs,NOUN
é,e,CCON
Armo,arma,NOUN
.,.,PUNCT
Més,mas,CCON
d',de,ADP
aquel,aquel,DET
bi,vin,NOUN
spiritual,espiritual,ADJ
de,de,ADP
la,lo,DET
gracio,gràcia,NOUN
del,de+lo,ADP+DET
Santesprit,sant+esperit,PROPN
",",",",PUNCT
que,qui,PRON
les,lo,PRON
fesso,far,VERB
canta,cantar,VERB
de,de,ADP
boun,bon,ADJ
cor,còr,NOUN
é,e,CCON
alégromen,alegrament,ADV
",",",",PUNCT
lai,lo,DET
louanjos,loanja,NOUN
é,e,CCON
lai,lo,DET
gracios,gràcia,NOUN
del,de+lo,ADP+DET
boun,bon,ADJ
Diu,Dieu,PROPN
.,.,PUNCT
Atal,aital,ADV
se,el,PRON
fourméc,formar,VERB
la,lo,DET
santo,sant,ADJ
coustumo,costuma,NOUN
",",",",PUNCT
que,qui,PRON
prenguëen,prendre,VERB
aquelis,aquel,DET
bous,vos,PRON
crestias,crestian,ADJ
",",",",PUNCT
de,de,ADP
canta,cantar,VERB
qualco,qualque,DET
péço,peça,NOUN
de,de,ADP
débouciu,devocion,NOUN
",",",",PUNCT
quand,quand,SCON
éron,èsser,VERB
cadun,cadun,PRON
en,en,ADP
soun,son,DET
particuilhé,particile,ADJ
",",",",PUNCT
lei,lo,DET
jouns,jos,NOUN
oubriés,obrièr,NOUN
en,en,ADP
fasen,far,VERB
lour,lor,DET
trabailh,trabalh,NOUN
.,.,PUNCT
Talomen,talament,ADV
que,que,SCON
d',de,ADP
aquel,aquel,DET
tens,temps,NOUN
benasit,benasir,VERB
",",",",PUNCT
le,lo,DET
paysan,paisan,NOUN
as,a+lo,ADP+DET
camps,camp,NOUN
",",",",PUNCT
en,en,ADP
lauran,laurar,VERB
",",",",PUNCT
en,en,ADP
semenan,semenar,VERB
",",",",PUNCT
en,en,ADP
segan,segar,VERB
",",",",PUNCT
en,en,ADP
lian,liar,VERB
",",",",PUNCT
en,en,ADP
cultiban,cultivar,VERB
la,lo,DET
bigno,vinha,NOUN
;,;,PUNCT
se,el,PRON
dibertissiô,divertir,VERB
jouyousomen,joiosament,ADV
",",",",PUNCT
é,e,CCON
entreteignô,entretenir,VERB
din,dins,ADP
soun,son,DET
Armo,arma,NOUN
le,lo,DET
foc,fuòc,NOUN
sacrat,sagrar,ADJ
de,de,ADP
l',lo,DET
amour,amor,NOUN
de,de,ADP
Diu,Dieu,PROPN
;,;,PUNCT
é,e,CCON
ly,el,PRON
dounao,donar,VERB
d',de,ADP
ayre,aire,NOUN
per,per,ADP
la,lo,DET
bouco,boca,NOUN
",",",",PUNCT
en,en,ADP
se,el,PRON
recrean,recrear,VERB
sur,sus,ADP
l',lo,DET
ayre,aire,NOUN
de,de,ADP
qualque,qualque,DET
cant,cant,NOUN
de,de,ADP
debouciu,devocion,NOUN
",",",",PUNCT
é,e,CCON
atal,aital,ADV
aleugissiô,aleugir,VERB
la,lo,DET
peno,pena,NOUN
de,de,ADP
sa,son,DET
journado,jornada,NOUN
.,.,PUNCT
Acô,aquò,PRON
n',non,ADV
éron,èsser,VERB
pas,pas,ADV
lai,lo,DET
bileignôs,vilénia,NOUN
",",",",PUNCT
lei,lo,DET
renegomens,renegament,NOUN
",",",",PUNCT
malediccius,malediccion,NOUN
",",",",PUNCT
et,e,CCON
blasfémos,blasfèma,NOUN
que,qui,PRON
gito,gitar,VERB
souben,sovent,ADV
la,lo,DET
bouco,boca,NOUN
des,de+lo,ADP+DET
paysans,paisan,NOUN
mal,mal,ADV
-,-,PUNCT
istruts,instruire,ADJ
",",",",PUNCT
que,qui,PRON
nou,non,ADV
saben,saber,VERB
d',de,ADP
autre,autre,DET
lengatge,lengatge,NOUN
",",",",PUNCT
ni,ni,CCON
d',de,ADP
autros,autre,DET
cançous,cançon,NOUN
que,qui,PRON
lai,lo,DET
dei,de+lo,ADP+DET
Diables,diable,NOUN
é,e,CCON
dei,de+lo,ADP+DET
dannats,dannar,NOUN
.,.,PUNCT
Sant,sant,ADJ
Jerome,Jeròme,PROPN
raporto,raportar,VERB
que,que,SCON
de,de,ADP
soun,son,DET
tens,temps,NOUN
",",",",PUNCT
as,a+lo,ADP+DET
camps,camp,NOUN
",",",",PUNCT
de,de,ADP
quin,quin,DET
coustat,costat,NOUN
qu',qui,PRON
on,òm,PRON
se,el,PRON
tournésso,tornar,VERB
",",",",PUNCT
on,òm,PRON
augiô,ausir,VERB
canta,cantar,VERB
les,lo,DET
paysans,paisan,NOUN
",",",",PUNCT
é,e,CCON
prounouncia,prononciar,VERB
aquel,aquel,DET
mout,mot,NOUN
ta,tant,ADV
sant,sant,ADJ
é,e,CCON
agreable,agreable,ADJ
",",",",PUNCT
Alleluya,alleluia,INTJ
",",",",PUNCT
que,que,ADV
coubido,convida,VERB
tout,tot,DET
le,lo,DET
mounde,monde,NOUN
a,a,ADP
lausa,lausar,VERB
Diu,Dieu,PROPN
